id,customer_pname,customer_name,active,name,partner_code,partner_sub_code,ref,contact_name,position,comment,is_company,customer,supplier,property_payment_term,parent_id,type,use_parent_address,street,street2,zip,city,country_id/id,phone,fax,mobile,email,เขต,กลุ่ม,ชนิดการค้า,category_id,website,user_id
mh_res_partner_1,ร้าน,ศึกษากิจพิศาล,TRUE,ร้าน ศึกษากิจพิศาล,,,3128,เฮียสุรชัย,,เฮียสุรชัย,TRUE,TRUE,FALSE,90,,Default,FALSE,350/29 ถ.ไชยานุภาพ ต.ในเมือง,อ.เมือง จ.พิษณุโลก 65000,,,,055-320718,055-320575,,,ภาคเหนือ,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคเหนือ,ร้านค้าเครื่องเขียน,ขายส่ง",,OF-AQ
mh_res_partner_10,บริษัท,ออฟฟิซ คลับ (ไทย) จำกัด สาขาพหลโยธิน,TRUE,บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาพหลโยธิน,OFC,,1273,,,,TRUE,TRUE,FALSE,90,,Default,FALSE,1705 ถนนพหลโยธิน  แขวงจตุจักร,เขตจตุจักร กรุงเทพ10900,,,,02-5130105,02-5130109,,,กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก,"กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก",,OF-C
mh_res_partner_10-1,บริษัท,ออฟฟิซ คลับ (ไทย) จำกัด สาขาศูนย์กระจายสินค้าบางนา,TRUE,บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาศูนย์กระจายสินค้าบางนา,OFC,,OC3,,,,FALSE,TRUE,FALSE,90,บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาพหลโยธิน,Shipping,FALSE,เลขที่ 105-106  หมู่ที่ 1  ตำบลศรีษะจรเข้ใหญ่,อำเภอบางเสาธง  จังหวัดสมุทรปราการ  10540,,,,,,,,กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก,"กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก",,OF-C
mh_res_partner_100,บมจ.,สยามแม็คโคร สาขาบุรีรัมย์,TRUE,บมจ. สยามแม็คโคร สาขาบุรีรัมย์,MKR,,,,,,TRUE,TRUE,FALSE,90,,Default,FALSE,151 หมู่ที่7 ต.อิสาณ,อ.เมือง จ.บุรีรัมย์ 31000,,,,,,,,ภาคอีสาน,โมเดิร์นเทรด,ขายส่ง,"ภาคอีสาน,โมเดิร์นเทรด,ขายส่ง",,OF-SM
mh_res_partner_100-1,บมจ.,สยามแม็คโคร,TRUE,บมจ. สยามแม็คโคร,MKR,,27,ฝ่ายจัดซื้อ,,ฝ่ายจัดซื้อ,FALSE,TRUE,FALSE,90,บมจ. สยามแม็คโคร สาขาบุรีรัมย์,Invoice,FALSE,3498 ชั้น 2 ถนนลาดพร้าว  แขวงคลองจั่น,เขตบางกะปิ  กรุงเทพฯ 10240,,,,27231000,,,,กรุงเทพฯ,โมเดิร์นเทรด,ขายส่ง,"กรุงเทพฯ,โมเดิร์นเทรด,ขายส่ง",,OF-SM
mh_res_partner_1000,,กันตลักษณ์เครื่องเขียน,TRUE,กันตลักษณ์เครื่องเขียน,,,5480,"คุณ กันตภณ, เสาวลักษณ์ ศรีชัย",,"คุณ กันตภณ, เสาวลักษณ์ ศรีชัย",TRUE,TRUE,FALSE,90,,Default,FALSE,291 หมู่ที่ 8 ต.อ่าวตง,อ.วังวิเศษ จ.ตรัง 92220,,,,"087-2800779,081-0840482",075-296548,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1001,ร้าน,แสงเทียนเครื่องเขียน,TRUE,ร้าน แสงเทียนเครื่องเขียน,,,5484,นาย พงศ์ธร  นวมานกร,,นาย พงศ์ธร  นวมานกร,TRUE,TRUE,FALSE,90,,Default,FALSE,823/1 หมู่ 2 ถ.เหนือคลอง-เขาพนม,ต.เหนือคลอง อ.เหนือคลอง จ.กระบี่ 81130,,,,"075-691461,691380",075-691461,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1002,,ไนซ์สไตล์ช็อป,TRUE,ไนซ์สไตล์ช็อป,,,5497,,,,TRUE,TRUE,FALSE,90,,Default,FALSE,26/9 หมู่ 1 ต.บางม่วง,อ.ตะกั่วป่า จ.พังงา 82190,,,,"076-446103,089-6522015",076-446103,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1003,,คลังเครื่องเขียน,TRUE,คลังเครื่องเขียน,,,5540,นางสาวิตรี  มลิวัลย์,,นางสาวิตรี  มลิวัลย์,TRUE,TRUE,FALSE,90,,Default,FALSE,32/4 หมู่ 7 ถ.เจ้าฟ้า ต.ฉลอง,อ.เมืองภูเก็ต จ.ภูเก็ต 83000,,,,,,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_1004,,ท่าแพเครื่องเขียน,TRUE,ท่าแพเครื่องเขียน,,,5542,,,,TRUE,TRUE,FALSE,0,,Default,FALSE,82 หมู่ 2 ต.ท่าแพ,อ.ท่าแพ จ.สตูล 91150,,,,081-7481615,,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
