id,auto_validate,company_id/id,date,name,partner_id/id,location_dest_id/id,priority,product_id/id,product_qty,date_expected,location_id/id,product_uom
stock_move_001,False,base.main_company,2013-05-05 09:00:48,Stock Adjustment (by kittiu),base.main_partner,stock.stock_location_stock,Urgent,mh_product_1,1000,2013-05-05 09:00:46,stock.location_inventory,รีม
stock_move_002,False,base.main_company,2013-05-05 09:00:48,Stock Adjustment (by kittiu),base.main_partner,stock.stock_location_stock,Urgent,mh_product_2,1000,2013-05-05 09:00:46,stock.location_inventory,รีม
stock_move_003,False,base.main_company,2013-05-05 09:00:48,Stock Adjustment (by kittiu),base.main_partner,stock.stock_location_stock,Urgent,mh_product_3,1000,2013-05-05 09:00:46,stock.location_inventory,รีม
stock_move_004,False,base.main_company,2013-05-05 09:00:48,Stock Adjustment (by kittiu),base.main_partner,stock.stock_location_stock,Urgent,mh_product_4,1000,2013-05-05 09:00:46,stock.location_inventory,รีม
stock_move_005,False,base.main_company,2013-05-05 09:00:48,Stock Adjustment (by kittiu),base.main_partner,stock.stock_location_stock,Urgent,mh_product_5,1000,2013-05-05 09:00:46,stock.location_inventory,รีม
stock_move_006,False,base.main_company,2013-05-05 09:00:48,Stock Adjustment (by kittiu),base.main_partner,stock.stock_location_stock,Urgent,mh_product_6,1000,2013-05-05 09:00:46,stock.location_inventory,รีม
stock_move_007,False,base.main_company,2013-05-05 09:00:48,Stock Adjustment (by kittiu),base.main_partner,stock.stock_location_stock,Urgent,mh_product_7,1000,2013-05-05 09:00:46,stock.location_inventory,รีม
stock_move_008,False,base.main_company,2013-05-05 09:00:48,Stock Adjustment (by kittiu),base.main_partner,stock.stock_location_stock,Urgent,mh_product_8,1000,2013-05-05 09:00:46,stock.location_inventory,รีม
stock_move_009,False,base.main_company,2013-05-05 09:00:48,Stock Adjustment (by kittiu),base.main_partner,stock.stock_location_stock,Urgent,mh_product_9,1000,2013-05-05 09:00:46,stock.location_inventory,รีม
stock_move_010,False,base.main_company,2013-05-05 09:00:48,Stock Adjustment (by kittiu),base.main_partner,stock.stock_location_stock,Urgent,mh_product_10,1000,2013-05-05 09:00:46,stock.location_inventory,รีม
stock_move_011,False,base.main_company,2013-05-05 09:00:48,Stock Adjustment (by kittiu),base.main_partner,stock.stock_location_stock,Urgent,mh_product_11,1000,2013-05-05 09:00:46,stock.location_inventory,รีม
stock_move_012,False,base.main_company,2013-05-05 09:00:48,Stock Adjustment (by kittiu),base.main_partner,stock.stock_location_stock,Urgent,mh_product_12,1000,2013-05-05 09:00:46,stock.location_inventory,รีม
stock_move_013,False,base.main_company,2013-05-05 09:00:48,Stock Adjustment (by kittiu),base.main_partner,stock.stock_location_stock,Urgent,mh_product_13,1000,2013-05-05 09:00:46,stock.location_inventory,รีม
stock_move_014,False,base.main_company,2013-05-05 09:00:48,Stock Adjustment (by kittiu),base.main_partner,stock.stock_location_stock,Urgent,mh_product_14,1000,2013-05-05 09:00:46,stock.location_inventory,รีม
